event_id,timestamp,acquired_skill,estimated_tokens_used,task_summary,evidence,sync_status
pf00-ab-acceptance-record-20260919,2026-09-19T10:47:17.543734+00:00,superpowers:using-git-worktrees;superpowers:verification-before-completion,unknown,Recorded sanitized accepted PF00-A/B executor evidence; private receipt integrity checked read-only without independent runtime rerun; earlier unpublished ops rows preserved,POLICY_REF=TARGET_REF=067985d07b1f3aba69b46374f567545b734d4b64; ops/pf00_ab_acceptance.md; private manifest 48/48 matched; scanner preflight 3 and 14 PASS,pending
pf00-c-ci-candidate-20260919,2026-09-19T10:51:11.579684+00:00,superpowers:requesting-code-review;superpowers:verification-before-completion;actionlint@1.7.12,unknown,Implemented authorized PF00-C CI matrix and exact runtime pin; actionlint acquired privately from official checksum-verified release; local static gate tests PASS; hosted execution and independent acceptance pending; merge enforcement unchanged,POLICY_REF=TARGET_REF=067985d07b1f3aba69b46374f567545b734d4b64; actionlint PASS; Bash syntax 26 blocks; PowerShell syntax PASS; foundation gate 31 cases PASS; no product dependency Jest or scanner implementation edits,pending
pf00-c-review-merge-whitespace-20260919,2026-09-19T10:53:02.317767+00:00,superpowers:requesting-code-review,unknown,Independent review identified merge whitespace-check gap; preserved requested command and added merge-parent checks in both workflows; synthetic negative regression confirms failure is detected; no scope expansion,private synthetic merge default check exit 0 versus merge-aware exit 2; actionlint recheck PASS; existing local A/B ops hashes unchanged,pending
pf00-c-first-ci-blocked-20260919,2026-09-19T11:02:41.739323+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion,unknown,PR23 first hosted CI: six required checks passed; Expo Doctor failed four baseline patch-version mismatches and foundation gate failed; exports not run; no retry dependency change exclusion or merge; this local checkpoint is uncommitted to preserve the tested PR head,PR23 head 8ccdcb3c7e1fbba055bdfc5217cb7c3f4a610208; App checks run 35438808876 attempt 1; Repository checks run 35438808911 attempt 1; private raw job logs retained; Shared 301 Web 256 Mobile 133 per OS E2E 21 passed; Doctor 20/21,pending
pf00-c-expo57-alignment-green-20260919,2026-09-19T11:23:23.767699+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion;superpowers:requesting-code-review,unknown,Resolved EXPO_SDK_57_DIRECT_DEPENDENCY_COMPATIBILITY_DRIFT through the four expressly approved direct patch changes; preserved first-attempt RED; clean install and pinned Doctor GREEN without exclusions; publishing earlier uncommitted failure checkpoint as historical evidence,POLICY_REF 067985d07b1f3aba69b46374f567545b734d4b64; START_HEAD 8ccdcb3c7e1fbba055bdfc5217cb7c3f4a610208; Node24.21.0 npm11.19.0; registry and resolved versions exact; 67/67 dynamically captured platform keys preserved; npm ci exit0 candidate byte drift0; Doctor1.20.4 21/21 exit0; independent dependency review no blocking findings,pending
pf00-c-open-dependency-security-risks-20260919,2026-09-19T11:24:17.151211+00:00,none,unknown,OPEN_RISK / dependency-security-triage: 14 moderate vulnerabilities and unrs-resolver install-script warning retained for later review; separate OPEN_RISK / ci-supply-chain-maintenance for pinned v4 Actions targeting an older internal Node runtime and hosted forcing Node24; none caused the demonstrated Doctor mismatch; no audit fix script approval or action upgrade performed,First hosted run 35438808876 and fresh local install/ci logs; unrs-resolver1.12.2 postinstall warning; product workflows and Jest unchanged by blocker fix,pending
pf00-c-expo57-local-regression-20260919,2026-09-19T11:26:12.602599+00:00,superpowers:verification-before-completion,unknown,Fresh local regression after the approved Expo delta passed; fresh Android/iOS exports are JS/assets only; first failed hosted attempt remains RED and new-head hosted CI is still pending; no workflow product Jest or unrelated direct dependency edits,Shared21files301tests; Web19files256tests; Mobile13suites133tests; lint typecheck build-web check-deps exit0; Chromium E2E21PASS; Android29files iOS25files exit0; scanner direct processes3/14PASS; clean-install candidate bytes unchanged,pending
pf00-c-expo57-fresh-ci-ready-20260919,2026-09-19T11:35:40.724383+00:00,superpowers:verification-before-completion,unknown,Fresh new-head matrix passed all eight required checks; PR23 description preserves first-attempt RED and adds separate GREEN; PF00-C READY_FOR_ACCEPTANCE only; no merge PF00-D PF01 approval or PF02; final receipt remains local and uncommitted so the tested remote head is unchanged,PR23 head 33d1d77e913692fefb61550984353645b4574409; App checks35440280982 and Repository checks35440280999 attempt1 SUCCESS; Doctor1.20.4 21/21 exit0; Android29files iOS25files JS/assets; first failed run35438808876 remains attempt1; Google sync pending,pending
pf00-c-merge-main-publication-20260919,2026-09-19T11:50:40.054426+00:00,superpowers:verification-before-completion;superpowers:using-git-worktrees,unknown,Operator independently accepted PF00-C; merged PR23 with expected-head protection and merge-commit parents verified; preserved source branch and unpublished checkpoint event; actual push-to-main CI all eight SUCCESS; CodeRabbit SUCCESS_STATUS but REVIEW_SKIPPED,premerge POLICY_REF067985d; accepted head33d1d77; merge333228163227d55d13e514fb9311ecb8b9dea615; tree dc110bdb3d979690e26ae9f38368a095fbd0a555; main runs35440841108/35440841105 attempt1; Doctor21/21; Android29 iOS25 JS/assets; foundation six success,pending
pf00-d-revision05-evidence-reconciliation-20260919,2026-09-19T11:50:40.054443+00:00,superpowers:verification-before-completion,unknown,Recorded PF00-D documentation candidate revision0.5; reconciled C01-C12 provenance while preserving F01-F44 NOT_RUN and first RED plus PR/main GREEN; security and action-runtime risks remain open; docs acceptance/freeze pending; no product workflow dependency or scanner edits,POLICY_REF=TARGET_REF333228163227d55d13e514fb9311ecb8b9dea615; ops/pf00_c_acceptance.md; STATUS.md; registered manifest12 entries to be freshly verified; PF01 REVIEW_DRAFT PF02 NOT_AUTHORIZED; original worktree unchanged,pending
pf00-d-pr24-accepted-main-20260919,2026-09-19T12:30:28.827540+00:00,superpowers:verification-before-completion;superpowers:using-git-worktrees,unknown,Operator-side independent PF00-D acceptance recorded distinctly; exact PR24 merged with expected-head guard; branch and merge parents preserved; actual main eight required checks SUCCESS; existing uncommitted checkpoints untouched and not copied,POLICY_REF3332281; accepted headf8cbcdb; merge6669c50ee5c2a07d40412a7162ddf381fa4698b1; runs35442667639/35442667660 attempt1; Shared301 Web256 Mobile133 per OS E2E21 scanner3/14 Doctor21/21 Android29 iOS25 JS/assets,pending
pf00-freeze-revision06-20260919,2026-09-19T12:30:28.827581+00:00,superpowers:verification-before-completion,unknown,PF00 freeze conditions satisfied; created scoped canonical receipt and revision0.6 current status; historical audit retained verbatim; C/F bytes unchanged; no product workflow dependency or scanner change; publication verification follows,TARGET_REF6669c50ee5c2a07d40412a7162ddf381fa4698b1; ops/pf00_d_acceptance.md; manifest12 entries freshly recomputed; PF00 FROZEN PF01 REVIEW_DRAFT PF02 NOT_AUTHORIZED; open risks and Google pending retained,pending
pf02-a-postgres-design-review-ready-20260919,2026-09-19T13:00:35+00:00,superpowers:brainstorming;superpowers:verification-before-completion,unknown,Recorded the operator-approved D02a PostgreSQL foundation as a review-ready architectural spec; no product code or dependencies changed and PF02 implementation remains unauthorized pending written-spec review,POLICY_REF=TARGET_REF9418211a4ab242024f687486f9626c32925b964d; branch docs/pf02-a-postgres-design; spec docs/superpowers/specs/2026-09-19-pf02-a-postgres-foundation-design.md; PostgreSQL18.6 pg8.23.0 types8.23.1 testcontainers12.1.0 node-pg-migrate9.0.0 verified; placeholder scan clean,pending
pf02-a-postgres-full-audit-20260919,2026-09-19T13:41:00+00:00,superpowers:verification-before-completion;superpowers:receiving-code-review,unknown,Full pre-implementation audit tightened the PF02-A PostgreSQL design and corrected evidence overclaims; implementation remains unauthorized pending written-spec approval,branch=docs/pf02-a-postgres-design; spec_blob=a52d8a5916812fbe1cad3ddf9a5ca778e8d3b949; verified PG18.6 pg8.23.0 types8.23.1 testcontainers12.1.0 node-pg-migrate9.0.0; fixed custom-GUC empty-string handling opaque pool migration-owner separation server_version_num test discovery lock integrity and canonical F-case mapping; product/workflow/dependency changes=0,pending
pf02-a-implementation-plan-review-ready-20260919,2026-09-19T14:05:14+00:00,superpowers:writing-plans;superpowers:verification-before-completion,unknown,Created and self-reviewed the PF02-A PostgreSQL implementation plan after operator approval of the written design; implementation remains blocked on written-plan review,branch=docs/pf02-a-postgres-design; plan=docs/superpowers/plans/2026-09-19-pf02-a-postgres-foundation.md; plan publication gate then 10 implementation tasks; first implementation terminal state READY_FOR_ACCEPTANCE open PR; canonical PASS limited to F18/F19/F23 after accepted-main publication; product/workflow/dependency changes=0,pending
pf02-a-doc-history-rewrite-20260919,2026-09-19T14:16:42Z,superpowers:systematic-debugging;superpowers:verification-before-completion,unknown,Operator-authorized one-time clean rewrite of docs/pf02-a-postgres-design after PR26 public/history gate detected a scanner-triggering credential-shaped example in the implementation plan; main and PF00 history unchanged,PR26 first runs35447778744/35447778728 failed repository history scan; root cause docs plan example only; clean branch parent=9418211a4ab242024f687486f9626c32925b964d; clean commit=5fb530363c00cc0a9b190959c8f9a69e9f91b562; final plan credential_assignment matches=0; implementation not started,pending
pf02-a-task1-docker-environment-blocked-20260919,2026-09-19T14:39:09.046028+00:00,superpowers:using-superpowers;superpowers:executing-plans;superpowers:test-driven-development;superpowers:verification-before-completion;superpowers:systematic-debugging;superpowers:using-git-worktrees,unknown,Corrected exact baseline and published Spec/Plan verified; Task1 blocked before implementation because no usable local Docker runtime was found; no dependency installation or tests or implementation commit or push or PR; existing work preserved,POLICY_REF=TARGET_REF=IMPLEMENTATION_BASE 08b99623eaec9b654eebeb30854374194ab49233; SPEC_BLOB a52d8a5916812fbe1cad3ddf9a5ca778e8d3b949; PLAN_BLOB f7ef6bdfd5cc6a478633bfd73641d8a1450721e2; Windows docker absent; WSL command lookup exit1 socket check exit1 docker execution exit127; platform lock baseline 67 unchanged; task ledger local,pending
pf02-a-docker-bootstrap-user-action-required-20260920,2026-09-19T15:19:42.237541+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion,unknown,Operator-authorized Docker Desktop per-user WSL2 install completed; Windows local Linux engine responds; Ubuntu Docker CLI unavailable and GUI integration needs user action; PF02-A Task1 implementation not started,Docker Desktop4.91.0 official checksum match and Docker Inc signature Valid; installer exit0; Docker client/server29.8.0 linux amd64; Ubuntu WSL2; Linux Node24.21.0 npm11.19.0 verified; no license auto-accept; no implementation commit or push,pending
pf02-a-ubuntu-docker-ready-20260920,2026-09-19T15:46:38.712816+00:00,superpowers:executing-plans;superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Operator enabled Ubuntu WSL integration; actual Ubuntu Docker client/server and local Linux engine verified; resumed Task1 in preserved isolated worktree,Docker version/info exit0; Docker Desktop4.91.0 Engine29.8.0 Linux x64; local endpoint no remote overrides; Linux Node24.21.0 npm11.19.0; refs unchanged; approved dependency versions exist; scanner regressions3+14 PASS; implementation not yet verified,pending
pf02-a-task1-startup-foundation-20260920,2026-09-19T16:22:09.149688+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task1 exact PostgreSQL startup foundation implemented and reviewed; Vitest API compatibility and third-party contact metadata corrected without dependency or scanner changes,commits597bf7a and01a9491; PG2tests PASS server_version_num180006; Shared301tests21files; full typecheck PASS; scanner3+14 PASS; public294files112links0findings; history576blobs0findings; platform67of67; audit14moderate unchanged; new transitive scripts attributed; Tasks2to10 pending,pending
pf02-a-task2-migration-ownership-20260920,2026-09-19T16:35:33.201443+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task2 restricted synthetic roles and dedicated-owner SQL migration implemented and reviewed; runtime isolation acceptance remains later work,commit897c274; behavioral RED roles1fail and schema14fail retained; PostgreSQL17 PASS; Shared301 PASS; typecheck PASS; public297files112links0findings; task review PASS; no production identities or real credentials,pending
pf02-a-task3-relationship-schema-20260920,2026-09-19T16:47:17.740350+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion;postgres-pro;debugging-wizard,unknown,Task3 explicit relationship schema and constraints implemented and reviewed; catalog decoding corrected from observed evidence without changing constraints,commitcdc5949; PostgreSQL41 PASS;typecheck PASS;public298files112links0findings;review PASS;original17tests retained;RLS and concurrent F23 evidence not yet run,pending
pf02-a-task4-transaction-boundary-20260920,2026-09-19T17:01:17.291674+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task4 opaque database handle and transaction-local context implemented and reviewed; secondary cleanup errors preserve original cause,commit8e35c56;behavioralRED29fail;PostgreSQL71 PASS;typecheck PASS;public301files112links0findings;review PASS;actualPG and labeled faultinjection;F18/F19 RLS evidence pendingTask5,pending
pf02-a-task5-runtime-isolation-20260920,2026-09-19T17:14:36.646790+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion;secure-code-guardian,unknown,Task5 forced organization RLS and exact runtime privileges implemented and reviewed using real restricted runtime credentials; canonical statuses unchanged,commit3da8474;PostgreSQL75 PASS;typecheck PASS;public302files112links0findings;review PASS;F18/F19 CANDIDATE_PASS_EVIDENCE_ONLY;all71earliercases retained;F01/F16/F41/F43 NOT_RUN,pending
pf02-a-local-e2e-browser-runtime-20260920,2026-09-19T17:23:39.288295+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion,unknown,Prepared existing pinned Playwright Chromium for final local E2E; missing Ubuntu libraries diagnosed and extracted from official package archives into private user directory; no elevated install or security setting change,browser install exit0;initial launch missing nspr nss alsa;official apt archive download and private extraction exit0;process-scoped library path;headless launch PASS;E2E suite not yet run,pending
pf02-a-task6-db-prerequisites-20260920,2026-09-19T17:28:16.830124+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task6 four PostgreSQL prerequisite scenarios added and reviewed; existing behavior validated with clearly labeled harness negative controls,commit655383b;PostgreSQL79 PASS;Shared301 PASS;typecheck PASS;public302files112links0findings;review PASS;A-ISO-01 A-TX-01 A-FK-01 A-ADDRESS-01 database prerequisites PASS;F01/F16/F41/F43 NOT_RUN,pending
pf02-a-task7-concurrent-occupancy-20260920,2026-09-19T17:37:23.042046+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task7 real concurrent ACTIVE occupancy conflict implemented and reviewed; runtime A/B overlap proved by separate diagnostic connection before commit,commit314da68;PostgreSQL80 PASS;Shared301 PASS;typecheck PASS;public302files112links0findings;review PASS;B Lock waiting on A then SQLSTATE23505 and ACTIVE count1;F23 CANDIDATE_PASS_EVIDENCE_ONLY,pending
pf02-a-task8-architecture-boundary-20260920,2026-09-19T17:50:35.687918+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion;superpowers:systematic-debugging,unknown,Task8 PostgreSQL dependency and Shared discovery boundary guard implemented and reviewed; Vitest type compatibility failures resolved within new test only,commit7346328;RED17expectedfail;newguard20 PASS;Shared321 PASS with unusable Docker endpoint;PostgreSQL80 PASS;fulltypecheck PASS;public303files112links0findings;review PASS;no existing config or product change,pending
pf02-a-task9-postgres-ci-20260920,2026-09-19T18:10:13.121416+00:00,superpowers:subagent-driven-development;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Task9 PostgreSQL integration job and seventh foundation dependency added and reviewed without weakening existing checks,commiteb1d1d0;YAML RED/GREEN;29aggregatecases PASS;npmci exit0 and manifestlock unchanged;platform67of67;PostgreSQL80 PASS;Shared321 PASS;typecheck PASS;public303files112links0findings;hostedCI NOT_RUN,pending
pf02-a-whole-branch-review-20260920,2026-09-19T18:17:51.277283+00:00,superpowers:subagent-driven-development;code-reviewer;superpowers:verification-before-completion,unknown,Whole implementation branch received internal SDD spec PASS and quality APPROVE; this is not operator-side independent acceptance; final local and hosted gates remain pending,HEADeb1d1d0;noBLOCKERorHIGH;OPEN LOW P3 container startup cleanup and concurrent-stop fault-injection coverage;147newlockkeys and no existing version change;review receipt retained privately,pending
pf02-a-task10-mounted-mobile-red-20260920,2026-09-19T18:30:37.039942+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion,unknown,Task10 first Mobile regression on Ubuntu accessing Windows-mounted worktree failed two unchanged 5000ms tests; raw receipt preserved privately; no retry or timeout change; root cause not established,HEADeb1d1d0;npmci PASS and lock unchanged;PG80 Shared321 Web256 PASS;Mobile13suites with2failed and133tests with2failed;Jest151.706seconds;tenant-ticket loading and role-navigation initial render;cache-before UNKNOWN;native ext4 exact-head diagnostic authorized within local verification scope,pending
pf02-a-task10-local-candidate-20260920,2026-09-19T18:37:53.416555+00:00,superpowers:systematic-debugging;superpowers:verification-before-completion;superpowers:subagent-driven-development,unknown,Task10 fresh native Ubuntu ext4 full regression passed at the same implementation HEAD; original mounted-worktree Mobile failure retained as OPEN RISK; no source or timeout fix; internal reviews approve continued candidate publication only,base08b99623eaec9b654eebeb30854374194ab49233;HEADeb1d1d0;PG18.6 pg8.23.0 types8.23.1 TC12.1.0 migrate9.0.0;PG80 Shared321 Web256 Mobile133 E2E21 PASS;lint typecheck build deps PASS;platform67of67 lockunchanged;F18/F19/F23 CANDIDATE_PASS_EVIDENCE_ONLY;DB prerequisite A-ISO-01 A-TX-01 A-FK-01 A-ADDRESS-01 PASS;F01/F16/F41/F43 NOT_RUN;TIMEOUT_NOT_REPRODUCED_ON_NATIVE_EXT4 ROOT_CAUSE_NOT_ESTABLISHED;audit14moderate unchanged0high0critical;scanner3+14 PASS;CI PENDING,pending
pr27-error-preflight-20260920,2026-09-20T04:38:21.360247+00:00,superpowers:using-superpowers;superpowers:systematic-debugging;superpowers:test-driven-development;superpowers:verification-before-completion,unknown,Exact policy and PATCH_BASE refs verified; PR27 OPEN; native Linux Node24.21.0 npm11.19.0 Docker confirmed; historical evidence preserved,POLICY_REF08b99623eaec9b654eebeb30854374194ab49233;PATCH_BASE363fd3ddaff08237c480bccaa369b07c2ee219d1,pending
pr27-h01-red-green-20260920,2026-09-20T04:38:21.360295+00:00,none,unknown,Actual PostgreSQL18.6 swallowed SQL error RED exit1 false success; COMMIT command check GREEN; SAVEPOINT control PASS; realistic test double command fields,npm run test:postgres -- -t R27-H01;full PostgreSQL82 PASS,pending
pr27-h02-red-green-20260920,2026-09-20T04:38:21.360301+00:00,none,unknown,Actual own idle runtime backend terminated; unhandled child exit1 RED; internal safe diagnostic listener GREEN; replacement backend and org isolation verified; redaction injection separate,npm run test:postgres -- -t R27-H02;full PostgreSQL86 PASS;setup parse failure excluded from behavioral RED,pending
pr27-local-regression-20260920,2026-09-20T04:38:21.360305+00:00,superpowers:requesting-code-review,unknown,PostgreSQL86 Shared321 Web256 Mobile133 fresh cache E2E21 PASS; lint typecheck build dependency checks exit0; scoped code review no blocking findings; fresh CI pending,npm run test:postgres;test:shared;test:web;test:mobile;lint;typecheck;build:web;check:deps;test:e2e:web,pending
pf02a-accepted-merge-20260920,2026-09-20T05:44:18.977636+00:00,superpowers:using-superpowers;superpowers:using-git-worktrees;superpowers:verification-before-completion,unknown,Operator accepted exact PR27 corrected head; fresh ref and nine-check gates passed; expected-head merge commit completed; implementation branch preserved,POLICY_REF08b99623eaec9b654eebeb30854374194ab49233;accepted0fa5a9c14c9b57c6362f048b611c0148a3a76132;merge63c619c6bfa451155249ebc458b9d3ac053d0ed7,pending
pf02a-main-ci-publication-20260920,2026-09-20T05:44:18.979051+00:00,none,unknown,Actual merge main push attempt1 required9of9 SUCCESS; PG86 server18.6 numeric180006 assertion H01 H02 F23PASS; aggregate7of7; earlier MobileRED preserved,App35491995616;Repository35491995683;postgres-job106028416097;foundation-job106028873758,pending
pf02a-evidence-candidate-20260920,2026-09-20T05:44:18.979079+00:00,none,unknown,Separate evidence branch records implementation verification; only F18 F19 F23 canonicalPASS; other41F casesNOT_RUN; revision0.7 all12hashes recomputed; independent docs acceptance pending,ops/pf02_a_acceptance.md;docs/production-foundation/SHA256SUMS.json;STATUS.md,pending
pf02a-finalization-accepted-merge-20260920,2026-09-20T07:11:47.633364+00:00,superpowers:verification-before-completion,unknown,Operator independently accepted PR28 exact head; expected-head merge commit verified; branch preserved; fresh main CI pending,POLICY_REF63c619c6bfa451155249ebc458b9d3ac053d0ed7;PR28head07499b11b9117ca1642e9e02de9ff0e32ff3b8c3;mergebfef69cc35b23a1fb5077a6fc73f54bfaa12133e,pending
pf02a-frozen-main-verified-20260920,2026-09-20T07:16:52.277749+00:00,none,unknown,Accepted PR28 merged; exact-main fresh push CI9of9 SUCCESS; PG86 H01 H02 F23PASS; aggregate7success; PF02-A VERIFIED FROZEN; PF02-B NOT_STARTED D01REQUIRED,mergebfef69cc35b23a1fb5077a6fc73f54bfaa12133e;App35496169603;Repository35496169579;postgres-job106039401099,pending
b1-00-contracts-20260923,2026-09-23T05:34:20.031183+00:00,superpowers:executing-plans;test-driven-development;verification-before-completion,unknown,B1-00 strict request contracts and explicit mode; behavioral RED then GREEN; shared324 mode2 typecheckPASS; implementation ongoing,BASE87341f143b04dd96a5b7e66dedf8df47b5f5ae73;B1-00,pending
b1-01-bootstrap-20260923,2026-09-23T05:50:59.755164+00:00,superpowers:test-driven-development;systematic-debugging,unknown,B1 identity bootstrap candidate: PG100PASS including86foundation; M05 missing-role rollback; real concurrent login lock observed; ACL ownership ordering corrected; shared325 typecheckPASS,B1-01;M05;R01;R06;frozen migrations0001-0003 unchanged,pending
PF02-B-B1-02-20260923,2026-09-23T06:11:37.748982+00:00,superpowers:test-driven-development,unknown,B1 transport and authoritative session revocation; operator-approved JWS verification; synthetic SDK evidence only,B1-02; PostgreSQL105 plus digest6; Web295; Shared340; build/typecheck/lint exit0,pending
